Date,Price,Open,High,Low,Vol.,Change %
2020-03-17,86.04,88,94.37,79.2,119.97M,-3.34%
2020-03-16,89.01,93.9,98.97,88.43,102.45M,-18.58%
2020-03-13,109.32,119,121.51,100.4,113.20M,-2.49%
2020-03-12,112.11,116.18,118.9,109.25,94.55M,-11.62%
2020-03-11,126.85,128.04,130.72,122.6,67.07M,-1.72%
2020-03-10,129.07,131.89,133.6,121.6,77.97M,6.14%
2020-03-09,121.6,121.08,132.6,121,85.37M,-13.57%
2020-03-06,140.7,138,141.4,136.85,63.31M,-2.91%
2020-03-05,144.91,144.75,149.15,143.61,54.26M,-3.33%
2020-03-04,149.9,152.79,153.3,144.95,75.24M,0.54%
2020-03-03,149.1,161,161.4,143.22,128.92M,0.26%
2020-03-02,148.72,142.25,148.74,137.33,100.97M,11.32%
2020-02-28,133.6,125.94,138.1,122.3,122.82M,-1.62%
2020-02-27,135.8,146,147.95,133.8,121.39M,-12.81%
2020-02-26,155.76,156.5,162.66,155.22,70.77M,-2.64%
2020-02-25,159.98,169.8,171.32,157.4,86.45M,-4.07%
2020-02-24,166.76,167.8,172.7,164.44,75.96M,-7.46%
2020-02-21,180.2,181.4,182.61,176.09,71.70M,0.18%
2020-02-20,179.88,182.39,182.4,171.99,88.17M,-1.96%
2020-02-19,183.48,184.7,188.96,180.2,127.11M,6.87%
2020-02-18,171.68,168.32,172,166.47,83.49M,7.29%
2020-02-14,160.01,157.44,162.59,157.1,78.47M,-0.49%
2020-02-13,160.8,148.37,163.6,147,131.45M,4.78%
2020-02-12,153.46,155.57,157.95,152.67,60.11M,-0.92%
2020-02-11,154.88,153.76,156.7,151.6,58.49M,0.40%
2020-02-10,154.26,160,164,150.48,123.45M,3.11%
2020-02-07,149.61,146.11,153.95,146,85.32M,-0.12%
2020-02-06,149.79,139.98,159.17,137.4,199.40M,1.94%
2020-02-05,146.94,164.65,169.2,140.82,242.12M,-17.17%
2020-02-04,177.41,176.59,193.8,166.78,304.69M,13.72%
2020-02-03,156,134.74,157.23,134.7,236.17M,19.90%
2020-01-31,130.11,128,130.6,126.5,78.60M,1.52%
2020-01-30,128.16,126.48,130.18,123.6,145.03M,10.29%
2020-01-29,116.2,115.14,117.96,113.49,91.08M,2.49%
2020-01-28,113.38,113.7,115.36,111.62,58.94M,1.59%
2020-01-27,111.6,108.4,112.89,107.86,68.04M,-1.20%
2020-01-24,112.96,114.13,114.77,110.85,71.77M,-1.29%
2020-01-23,114.44,112.85,116.4,111.12,98.26M,0.47%
2020-01-22,113.91,114.38,118.9,111.82,156.85M,4.08%
2020-01-21,109.44,106.05,109.72,105.68,89.02M,7.19%
2020-01-17,102.1,101.52,103.13,100.63,68.15M,-0.58%
2020-01-16,102.7,98.75,102.89,98.43,108.68M,-0.96%
2020-01-15,103.7,105.95,107.57,103.36,86.84M,-3.61%
2020-01-14,107.58,108.85,109.48,104.98,145.31M,2.49%
2020-01-13,104.97,98.7,105.13,98.4,133.17M,9.77%
2020-01-10,95.63,96.36,96.99,94.74,64.88M,-0.66%
2020-01-09,96.27,99.42,99.76,94.57,142.32M,-2.19%
2020-01-08,98.43,94.74,99.7,93.65,156.00M,4.92%
2020-01-07,93.81,92.28,94.33,90.67,91.05M,3.88%
2020-01-06,90.31,88.09,90.31,88,50.79M,1.93%
2020-01-03,88.6,88.1,90.8,87.38,88.97M,2.96%
2020-01-02,86.05,84.9,86.14,84.34,47.79M,2.84%
2019-12-31,83.67,81,84.26,80.42,51.46M,0.88%
2019-12-30,82.94,85.76,85.8,81.85,63.01M,-3.65%
2019-12-27,86.08,87,87.06,85.22,49.78M,-0.13%
2019-12-26,86.19,85.58,86.7,85.27,53.24M,1.34%
2019-12-24,85.05,83.67,85.09,82.54,40.27M,1.44%
2019-12-23,83.84,82.36,84.4,82,66.66M,3.35%
2019-12-20,81.12,82.06,82.6,80.04,73.93M,0.38%
2019-12-19,80.81,79.46,81.37,79.3,90.60M,2.77%
2019-12-18,78.63,76.13,79.04,76.12,70.68M,3.73%
2019-12-17,75.8,75.8,77.1,75.18,42.52M,-0.66%
2019-12-16,76.3,72.51,76.72,72.5,91.10M,6.45%
2019-12-13,71.68,72.21,73.04,70.93,32.87M,-0.36%
2019-12-12,71.94,70.98,72.55,70.65,38.88M,1.98%
2019-12-11,70.54,70.38,71.44,70.22,34.60M,1.10%
2019-12-10,69.77,67.99,70.15,67.86,44.20M,2.74%
2019-12-09,67.91,67.32,68.89,67.02,45.20M,1.09%
2019-12-06,67.18,67,67.77,66.95,38.09M,1.68%
2019-12-05,66.07,66.57,66.88,65.45,18.68M,-0.81%
2019-12-04,66.61,67.55,67.57,66.57,27.68M,-0.94%
2019-12-03,67.24,66.52,67.58,66.44,33.07M,0.40%
2019-12-02,66.97,65.88,67.28,65.74,30.41M,1.49%
2019-11-29,65.99,66.22,66.25,65.5,12.33M,-0.41%
2019-11-27,66.26,66.22,66.79,65.71,27.82M,0.73%
2019-11-26,65.78,67.05,67.1,65.42,39.78M,-2.21%
2019-11-25,67.27,68.86,68.91,66.89,61.73M,0.99%
2019-11-22,66.61,68.03,68.2,66,84.35M,-6.14%
2019-11-21,70.97,70.9,72.17,70.8,30.55M,0.75%
